bp,MW,EOU,hydrocarbon
387,114.23,0,alkane
435,142.29,0,alkane
398,204.36,4,alkene
552,204.36,4,alkene
165,120.19,4,aromatic
413,128.26,0,alkane
496,184.37,0,alkane
387,126.24,1,alkene
496,184.37,0,alkane
496,184.37,0,alkane
524,196.38,1,alkene
483,166.31,2,alkyne
434,142.29,0,alkane
428,142.29,0,alkane
409,126.24,1,alkene
496,184.37,0,alkane
436,142.29,0,alkane
459,156.31,0,alkane
314,84.16,1,alkene
402,126.24,1,alkene
491,184.37,0,alkane
139,106.17,4,aromatic
458,156.31,0,alkane
487,168.32,1,alkene
476,170.34,0,alkane
239,160.26,5,aromatic
439,156.31,0,alkane
335,84.16,1,alkene
544,204.36,4,alkene
443,142.29,0,alkane
458,138.25,2,alkyne
386,112.22,1,alkene
529,194.36,2,alkyne
349,82.15,2,alkene
456,150.27,3,alkene
457,156.31,0,alkane
413,128.26,0,alkane
524,196.38,1,alkene
434,140.27,1,alkene
387,112.22,1,alkene
398,112.22,1,alkene
80,78.11,4,aromatic
426,142.29,0,alkane
373,96.17,2,alkyne
320,138.25,2,alkyne
346,82.15,2,alkyne
433,140.27,1,alkene
367,98.19,1,alkene
501,182.35,1,alkene
81,84.16,1,alkane
101,98.19,1,alkane
49,70.13,1,alkane
44,68.12,2,alkene
144,112.21,1,alkane
80,80.13,3,alkene
8,54.09,2,alkyne
