ppm	intensity
7.95027922443943	0.00084621606881
7.94970647901587	0.0008937164906
7.94913373359232	0.00126529972905
7.94856098816876	0.00139495845177
7.9479882427452	0.00171223002828
7.94741549732164	0.00188914114001
7.94684275189809	0.00215847876542
7.94627000647453	0.00216253536386
7.94569726105097	0.00259492072775
7.94512451562741	0.00217085297559
7.94455177020386	0.00200462076365
7.9439790247803	0.00155295441906
7.94340627935674	0.00178756692696
7.94283353393318	0.00173485406379
7.94226078850963	0.00154239884231
7.94168804308607	0.00123357291977
7.94111529766251	0.00176963005249
7.94054255223895	0.00143433696839
7.9399698068154	0.00102305845969
7.93939706139184	0.00138551506062
7.93882431596828	0.00127240504673
7.93825157054473	0.0013008640739
7.93767882512117	0.00120590890295
7.93710607969761	0.00141695425398
7.93653333427405	0.00153511424926
7.93596058885049	0.00175296258956
7.93538784342694	0.00209999211155
7.93481509800338	0.00216623756601
7.93424235257982	0.00183832645843
7.93366960715627	0.00167091459669
7.93309686173271	0.00209099946968
7.93252411630915	0.00306510157221
7.93195137088559	0.00353509712409
7.93137862546204	0.00400679378056
7.93080588003848	0.00480170239527
7.93023313461492	0.0044318048315
7.92966038919136	0.00384494928658
7.92908764376781	0.00372397102626
7.92851489834425	0.00308571286289
7.92794215292069	0.00316843308493
7.92736940749713	0.00316782127742
7.92679666207358	0.00320386598055
7.92622391665002	0.00393288242819
7.92565117122646	0.00385163172635
7.9250784258029	0.0046201495539
7.92450568037935	0.00480982397673
7.92393293495579	0.00540098645732
7.92336018953223	0.00578551880981
7.92278744410867	0.00686689130673
7.92221469868512	0.00734151999233
7.92164195326156	0.00680033925291
7.921069207838	0.00615954487249
7.92049646241445	0.00618615280167
7.91992371699089	0.00615116612361
7.91935097156733	0.00533682988452
7.91877822614377	0.00561418180482
7.91820548072021	0.005857727835
7.91763273529666	0.00598130252912
7.9170599898731	0.00685650710568
7.91648724444954	0.00750182087397
7.91591449902599	0.00779172221613
7.91534175360243	0.00714040993874
7.91476900817887	0.0065716099795
7.91419626275531	0.00627294133154
7.91362351733176	0.00509646477545
7.9130507719082	0.00448532141771
7.91247802648464	0.00534888653529
7.91190528106108	0.00635023521733
7.91133253563753	0.00736618389838
7.91075979021397	0.00761189116111
7.91018704479041	0.00837895153767
7.90961429936685	0.00875926271436
7.9090415539433	0.00886009455898
7.90846880851974	0.0094628155908
7.90789606309618	0.00974611645618
7.90732331767262	0.0103823652751
7.90675057224907	0.01124104244029
7.90617782682551	0.01035499214486
7.90560508140195	0.00977901119023
7.90503233597839	0.00925789717671
7.90445959055484	0.00853121418739
7.90388684513128	0.00786590176765
7.90331409970772	0.00827661807645
7.90274135428416	0.00958126633312
7.90216860886061	0.01056182686077
7.90159586343705	0.01088519964465
7.90102311801349	0.01091047593501
7.90045037258993	0.01131492516195
7.89987762716638	0.01150466712829
7.89930488174282	0.01144064866926
7.89873213631926	0.01127037338098
7.8981593908957	0.01087983686809
7.89758664547215	0.01131166622472
7.89701390004859	0.01189307459215
7.89644115462503	0.01257702872508
7.89586840920147	0.01473990795542
7.89529566377792	0.01705548907031
7.89472291835436	0.02103618204729
7.8941501729308	0.0230609658343
7.89357742750724	0.02473175863175
7.89300468208369	0.02598889625329
7.89243193666013	0.02352743972236
7.89185919123657	0.01981504817195
7.89128644581301	0.01750627382644
7.89071370038946	0.01617480829403
7.8901409549659	0.01513630518921
7.88956820954234	0.01466146908962
7.88899546411879	0.01471648924399
7.88842271869523	0.01544953465894
7.88784997327167	0.01706256270092
7.88727722784811	0.01864241762117
7.88670448242456	0.02130836763789
7.886131737001	0.02317534863799
7.88555899157744	0.02390499148716
7.88498624615388	0.02457554335788
7.88441350073033	0.02464669501291
7.88384075530677	0.02296074519343
7.88326800988321	0.02260394936594
7.88269526445965	0.02230918199051
7.8821225190361	0.02304577854356
7.88154977361254	0.02429434211842
7.88097702818898	0.02490145292164
7.88040428276542	0.02553700012489
7.87983153734187	0.02782263524898
7.87925879191831	0.03113496425237
7.87868604649475	0.03282688430855
7.87811330107119	0.03423639256169
7.87754055564764	0.03458466100721
7.87696781022408	0.03280009971408
7.87639506480052	0.03176594695409
7.87582231937696	0.03162280872429
7.87524957395341	0.03311297297507
7.87467682852985	0.0347791692451
7.87410408310629	0.03814647577932
7.87353133768274	0.04229843051679
7.87295859225918	0.04562550719975
7.87238584683562	0.04987020780846
7.87181310141206	0.05583348139577
7.87124035598851	0.06009502028057
7.87066761056495	0.06889874596357
7.87009486514139	0.08329149132093
7.86952211971783	0.10480476500483
7.86894937429428	0.1339084241901
7.86837662887072	0.17008114280989
7.86780388344716	0.21032277720409
7.8672311380236	0.25180802452724
7.86665839260005	0.28533710466021
7.86608564717649	0.31117083707088
7.86551290175293	0.35906301002751
7.86494015632937	0.38686046042455
7.86436741090582	0.4228455477355
7.86379466548226	0.47495835634403
7.8632219200587	0.51799620324363
7.86264917463514	0.51122183101126
7.86207642921159	0.47940303201061
7.86150368378803	0.41967330870996
7.86093093836447	0.36452479871803
7.86035819294091	0.3549784280791
7.85978544751736	0.40679735788045
7.8592127020938	0.52639873428372
7.85863995667024	0.72708922282041
7.85806721124668	1.07771285531722
7.85749446582313	1.73854701711456
7.85692172039957	2.59341718340638
7.85634897497601	3.28639564114267
7.85577622955245	4.09325883702424
7.8552034841289	4.27605606275789
7.85463073870534	3.0762325962147
7.85405799328178	2.02363875606309
7.85348524785822	1.38803514014363
7.85291250243467	0.9813912899539
7.85233975701111	0.81307538151392
7.85176701158755	0.78576576956535
7.851194266164	0.80552446814065
7.85062152074044	0.87443585485443
7.85004877531688	1.0481324255186
7.84947602989332	1.47171866133827
7.84890328446976	2.10592468698519
7.84833053904621	2.73610270370776
7.84775779362265	3.31949915200383
7.84718504819909	3.52011277141837
7.84661230277554	3.18358101261729
7.84603955735198	2.35613427178455
7.84546681192842	1.53367241059531
7.84489406650486	1.09295302298529
7.84432132108131	0.8993554200096
7.84374857565775	0.86503863612231
7.84317583023419	0.98244427480783
7.84260308481063	1.26279530473059
7.84203033938708	1.78025463221254
7.84145759396352	2.44593678000405
7.84088484853996	3.07423682818385
7.8403121031164	3.64520511745325
7.83973935769285	3.54406616680614
7.83916661226929	2.8137576166177
7.83859386684573	2.03199204254693
7.83802112142217	1.42385742995846
7.83744837599862	1.04976142393497
7.83687563057506	0.83685304626144
7.8363028851515	0.79616205391587
7.83573013972794	0.88842711990043
7.83515739430439	1.02794998791073
7.83458464888083	1.24186466666137
