z,n,hl
28,39,-6.176587312201449
28,40,-6.036408609036412
28,41,-6.441901755598895
28,42,-6.720655356551724
28,43,-7.090566641623519
28,44,-7.302906954526134
28,45,-7.574527320873487
28,46,-7.793199443530763
28,47,-7.962248164363838
28,48,-8.122229649878856
28,49,-8.297682709727988
28,50,-8.457413921777142
28,51,-8.86533815135578
28,52,-9.118595365223761
29,24,-14.38486325462853
29,25,-14.623745343543668
29,26,-8.896746615607405
29,27,-8.530323658381432
29,28,-8.205886307335362
29,29,-6.993114099523168
29,30,-5.587648998195392
29,31,-4.34590701054162
29,32,-3.41888768711371
29,33,-4.735228882468722
29,35,-2.838666190142471
29,37,-5.011385395575894
29,38,-2.1513048596692053
29,39,-6.008848127510533
29,40,-5.265810496543214
29,41,-5.850446595954437
29,42,-6.211004877005142
29,43,-6.677293078530595
29,44,-6.875557316537468
29,45,-7.286619002531411
29,46,-7.411025189125826
29,47,-7.69194857741655
29,48,-7.8268935944937805
29,49,-7.973761799898523
29,50,-8.1167895643605
29,51,-8.443428275560368
29,52,-8.634295525876976
29,53,-8.98029266705748
30,24,-10.297409482614917
30,25,-9.197776611271387
30,26,-9.021685352215705
30,27,-8.896746615607405
30,28,-8.560787509459157
30,29,-8.24692515238284
30,30,-5.344078399495213
30,31,-5.548928902898493
30,32,-2.9790468460513733
30,33,-4.1355331702449085
30,35,-0.1750276486722994
30,39,-3.9693762525683822
30,40,18.580071680755772
30,41,-5.331489272187192
30,42,-2.275051153278127
30,43,-6.109640522570835
30,44,-5.518348714659268
30,45,-6.490206435173451
30,46,-6.742931751262876
30,47,-7.180743271972607
30,48,-7.331489272187192
30,49,-7.626067779462699
30,50,-7.749147574840468
30,51,-7.9936566286154624
30,52,-8.278698518895313
30,53,-8.430620745189206
30,54,-13.697402896918012
30,55,-13.694667174600017
31,28,-14.86533815135578
31,29,-8.653708566921111
31,30,-8.276090135787785
31,31,-8.433895839742904
31,32,-5.988261596728756
31,33,-5.301195283765654
31,34,-4.538811768606952
31,35,-2.965237893740788
31,36,-2.0488488508350273
31,37,-3.8900025427543
31,39,-4.395550373580317
31,41,-2.793284993512701
31,42,-3.255867836905787
31,43,-4.811099327310549
31,44,-5.398436061817805
31,45,-5.985589006867429
31,46,-6.378232675729518
31,47,-6.7920888245986095
31,48,-7.044266621970549
31,49,-7.220053005982539
31,50,-7.413516028705303
31,51,-7.720655356551724
31,52,-8.010114908618428
31,53,-8.569387681221075
31,54,-8.535018779589812
31,55,-8.86533815135578
31,56,-13.696717349053635
32,27,-9.374954965968282
32,28,-14.457413921777142
32,29,-8.85535393044918
32,30,-8.38821689663612
32,31,-8.322715347879686
32,32,-5.694667174600018
32,33,-6.008848127510533
32,34,-3.58839566702068
32,35,-4.44419355237848
32,36,-0.12943576745914645
32,37,-2.3508830679547614
32,39,-1.504246634061193
32,43,-3.802729934486983
32,45,-2.892859753598781
32,46,-3.7761726844015557
32,47,-6.220510398844094
32,48,-6.028984590957205
32,49,-6.6179930146545765
32,50,-6.896746615607405
32,51,-7.231634878532354
32,52,-7.519258232231273
32,53,-7.7972386218794405
32,54,-8.144698167787967
32,55,-8.35267857125713
32,56,-14.021685352215705
32,57,-14.021685352215705
33,30,-14.86533815135578
33,31,-9.243534101832061
33,32,-8.391596637287499
33,33,-8.517577119515368
33,34,-5.870417676885056
33,35,-5.318107405639333
33,36,-4.538811768606952
33,37,-3.999669612397985
33,38,-2.1275909248930067
33,39,-2.527530758197263
33,40,-0.6575773191777937
33,41,-1.3126054366511732
33,43,-2.523540275464458
33,44,-2.3537843265680243
33,45,-3.7630480694916293
33,46,-4.765930565572662
33,47,-6.316963018990595
33,48,-5.9763623734290485
33,49,-6.217773239687641
33,50,-6.371701808570561
33,51,-6.875557316537468
33,52,-7.193240293420064
33,53,-7.523374798426105
33,54,-7.8139612452909555
33,55,-8.197776611271387
33,56,-14.021685352215705
34,30,-14.243534101832061
34,31,-8.98029266705748
34,32,-8.875557316537467
34,33,-8.36526769856515
34,34,-5.948578253880274
34,35,-6.06105604411498
34,36,-4.106813534675655
34,37,-5.044877014877639
34,38,-1.638013578394593
34,39,-3.088198064367
34,41,-0.4839085557082847
34,45,5.514835836799248
34,47,-4.4546589860566455
34,48,19.98255931717853
34,49,-4.372350493503563
34,50,-5.2074377564837855
34,51,-5.981610708985394
34,52,-6.343470569470306
34,53,-6.758443917441125
34,54,-7.314115176117769
34,55,-7.865338151355782
34,56,-8.20877199557285
34,57,-8.06744284277638
34,60,-14.322715347879686
34,61,-13.90552053991491
35,34,-15.118595365223761
35,35,-8.600630123437691
35,36,-6.168392833586177
35,37,-5.60338406089596
35,38,-5.1891764395094695
35,39,-4.315821639931786
35,40,-3.7352288824687228
35,41,-2.73298909162545
35,42,-2.1863245893242715
35,43,-4.911095641916456
35,45,-4.47317309587467
35,47,-2.394950910537526
35,48,-3.567023391549508
35,49,-4.218774862796666
35,50,-5.258257358652768
35,51,-5.757655008083583
35,52,-5.753107380332862
35,53,-6.2855545547389715
35,54,-6.859619046999614
35,55,-7.217773239687641
35,56,-7.764006777346521
35,57,-8.001876958862153
35,58,-8.49020643517345
35,59,-8.653708566921111
35,60,-14.322715347879686
35,61,-14.322715347879686
36,33,-9.051648575593148
36,34,-8.896746615607405
36,35,-8.498806606935368
36,36,-6.265810496543214
36,37,-6.062643959894612
36,38,-4.659957516198113
36,39,-5.0578975248701505
36,40,-2.7722423907731235
36,41,-3.8678704878711767
36,43,-2.3979400086720375
36,45,5.36012356647885
36,49,1.0312519265172373
36,51,-3.8381308185968437
36,52,-3.4914856540126236
36,53,-5.222344802762124
36,54,-5.989335254832819
36,55,-6.56582578501217
36,56,-7.233988783925832
36,57,-7.389565638347165
36,58,-8.172470746006617
36,59,-8.441901755598895
36,60,-8.595716619943424
36,61,-8.699466057481786
36,62,-8.86533815135578
36,63,-9.38486325462853
36,64,-9.653708566921111
36,65,-13.696032881643392
37,36,-14.590321588056717
37,37,-8.687392480667246
37,38,-6.220053005982539
37,39,-5.936513742478893
37,40,-5.143163556714499
37,41,-4.473664657310175
37,42,-4.3608198742118365
37,43,-5.975060140123803
37,44,-3.2823978844448365
37,45,-5.621147362823759
37,46,-0.6267855986317619
37,47,-1.0461542877394003
37,49,-1.2918003608178565
37,50,10.696644472872293
37,51,-4.470894615663745
37,52,-4.5353965912551395
37,53,-5.300149519980946
37,54,-5.73388362228548
37,55,-6.847528592937224
37,56,-6.732393759822968
37,57,-7.067121262249357
37,58,-7.921659622107843
37,59,-8.191310569022155
37,60,-8.270662999337626
37,61,-8.438108766581756
37,62,-8.766412847112399
37,63,-8.782803263300568
37,64,-8.993656628615462
37,65,-8.930604882868373
37,66,-9.137078770917775
38,35,-9.10086659826333
38,36,-9.06744284277638
38,37,-8.554323934785199
38,38,-6.601729603725948
38,39,-6.5445640974960435
38,40,-5.294686624279443
38,41,-5.368472838440362
38,42,-3.6941220920284277
38,43,-4.372350493503563
38,44,-1.1583149007871198
38,45,-2.4318250751358708
38,47,-0.750389580995981
38,51,-0.8584600308911323
38,52,1.46133617580962
38,53,-2.957976792824288
38,54,-3.5256972343451363
38,55,-4.849666542791149
38,56,-5.622011630734668
38,57,-6.120408705987231
38,58,-7.469422829250158
38,59,-7.866349314750644
38,60,-7.683893425660294
38,61,-8.06905432693296
38,62,-8.197776611271387
38,63,-8.426924599629242
38,64,-8.659957516198112
38,65,-8.77453073733458
38,66,-8.77453073733458
38,67,-8.907741999908868
38,68,-9.197776611271387
38,69,-13.902209511308907
39,37,-14.197776611271387
39,38,-8.742931751262876
39,39,-8.77453073733458
39,40,-6.32854489154041
39,41,-6.020240111341525
39,42,-5.651233947793256
39,43,-6.579728514559294
39,44,-4.870622098861955
39,45,-4.124058260925264
39,46,-3.514369312139292
39,47,-2.774006622645048
39,48,-2.0405012148173514
39,49,-0.534429747198172
39,51,-2.1359849720873756
39,52,-0.7950627663457565
39,53,-3.393500844142293
39,54,-2.934756328167341
39,55,-4.448813750015225
39,56,-4.707818131846552
39,57,-6.771265349906812
39,58,-6.924775339207649
39,59,-7.760026048450999
39,60,-7.32737270599236
39,61,-7.6342955258769765
39,62,-7.845594093160025
39,63,-7.942504106168081
39,64,-8.137078770917775
39,65,-8.204340380773775
39,66,-8.469422829250158
39,67,-8.601179515644926
39,68,-8.973761799898522
39,69,-9.021685352215705
39,70,-9.10086659826333
40,38,-14.268357685557094
40,39,-8.750618579929167
40,40,-6.836048775253794
40,41,-6.758443917441125
40,42,-5.9936566286154624
40,43,-5.875557316537468
40,44,-4.309035650588494
40,45,-4.825232810512317
40,46,-2.7250201619541743
40,47,-3.7171948244422177
40,48,-0.641126813818736
40,49,-2.048132652311843
40,53,6.207113960170812
40,55,-0.7558957975003574
40,56,19.301318079802943
40,57,-2.718515223597989
40,58,-6.011668231458182
40,59,-7.176587312201448
40,60,-6.647548258216292
40,61,-7.137078770917775
40,62,-7.036408609036412
40,63,-7.384863254628531
40,64,-7.419625360887744
40,65,-7.6792626713934995
40,66,-8.243534101832061
40,67,-8.334453751150932
40,68,-8.610065646252476
40,69,-8.750618579929167
40,70,-8.924775339207649
40,71,-9.118595365223761
40,72,-9.021685352215705
41,40,-14.197776611271387
41,41,-8.799836602599349
41,42,-6.907741999908869
41,43,-6.507580531242873
41,44,-6.187052745879614
41,45,-5.5543239347852
41,46,-5.152453632484729
41,47,-4.55928735431675
41,48,-3.635008068254868
41,49,-2.7781512503836434
41,50,2.8327969968451985
41,51,7.540617558929836
41,53,4.307784122052175
41,54,-1.0183365101908863
41,55,-2.57421722126595
41,56,-3.8627200918322955
41,57,-7.042440573806325
41,58,-6.3227153478796865
41,59,-7.35267857125713
41,60,-6.647548258216292
41,61,-6.865338151355782
41,62,-7.3227153478796865
41,63,-6.808610526906854
41,64,-7.034913617949461
41,65,-7.490206435173451
41,66,-8.021685352215705
41,67,-8.202141416673836
41,68,-8.465382851448418
41,69,-8.584992754551651
41,70,-8.766412847112399
41,71,-8.98029266705748
41,72,-8.993656628615462
41,73,-9.268357685557094
41,74,-9.137078770917775
42,39,-13.845594093160024
42,41,-9.720655356551724
42,42,-7.137078770917775
42,43,-6.993656628615462
42,44,-6.217773239687641
42,45,-6.349587494279988
42,46,-4.817565369559781
42,47,-5.396372901254032
42,48,-3.197429314586023
42,49,-4.5306039387925185
42,51,3.6023480754669244
42,57,-2.1234605554580246
42,58,18.84600610210562
42,59,-4.556005140617428
42,60,-4.667576913068305
42,61,-5.669502834104343
42,62,-5.720655356551724
42,63,-5.938899981899255
42,64,-6.557792363229798
42,65,-6.954738562585092
42,66,-7.461380108994744
42,67,-7.713476771924601
42,68,-8.027514895876429
42,69,-8.22929366271745
42,70,-8.419625360887743
42,71,-8.595716619943424
42,72,-8.735378613372431
42,73,-8.840795210278255
42,74,-8.993656628615462
42,75,-9.156383926113161
42,76,-9.220053005982539
43,42,-14.498806606935368
43,43,-8.758443917441124
43,44,-7.156383926113162
43,45,-6.692626632951481
43,46,-6.3915966372875
43,47,-5.806841504168007
43,48,-5.22372570847851
43,49,-5.092266426501412
43,50,-3.503171412337818
43,51,-3.253787736197615
43,52,-2.6414741105040997
43,53,-1.9308490954433026
43,54,6.62457017997463
43,55,6.623537374536863
43,56,5.324776317446618
43,57,-6.304292265052901
43,58,-4.567755760157977
43,59,-6.776172684401556
43,60,-5.764807320396981
43,61,-4.458204266821295
43,62,-4.837561997976034
43,63,-5.947356608962493
43,64,-6.172470746006616
43,65,-6.785316063841425
43,66,-7.539765214614274
43,67,-7.5445640974960435
43,68,-8.036408609036412
43,69,-8.065837316060962
43,70,-8.316963018990595
43,71,-8.498806606935368
43,72,-8.606712004244887
43,73,-8.742931751262876
43,74,-8.850446595954436
43,75,-9.021685352215705
43,76,-9.156383926113161
43,77,-9.176587312201448
43,78,-9.156383926113161
44,41,-13.845594093160024
44,42,-13.857332496431269
44,44,-7.419625360887744
44,45,-7.3227153478796865
44,46,-6.430620745189207
44,47,-6.595716619943424
44,48,-5.158362492095249
44,49,-5.722832275805999
44,50,-4.006325596806492
44,51,-3.726866542733019
44,53,-2.1105064289321844
44,59,-0.9684863991265402
44,61,-3.295218961142714
44,62,0.008016520979405055
44,63,-5.146624088824005
44,64,-5.062643959894612
44,65,-5.962248164363838
44,66,-6.418180120013562
44,67,-7.172470746006616
44,68,-7.255768558249073
44,69,-7.595716619943424
44,70,-7.7664128471124
44,71,-7.996379486950936
44,72,-8.189176439509469
44,73,-8.319829659642199
44,74,-8.503171412337817
44,75,-8.656821802345254
44,76,-8.845594093160024
44,77,-9.036408609036412
44,78,-9.10086659826333
44,79,-9.220053005982539
44,80,-9.322715347879686
45,44,-14.419625360887743
45,45,-9.036408609036412
45,46,-7.331489272187192
45,47,-6.830420690245368
45,48,-6.412446776260619
45,49,-5.650001905883564
45,50,-5.019951639406705
45,51,-4.725020161954174
45,52,-4.233516981074538
45,53,-4.780138871619157
45,54,-1.355466988424625
45,55,-2.6307502451123264
45,56,0.5188020240168496
45,57,-0.24569356236261386
45,59,-5.8724662395603255
45,60,-2.3942252721366253
45,61,-6.02067317883485
45,62,-4.384195622703195
45,63,-6.273497325209505
45,64,-5.591395246160782
45,65,-6.973761799898523
45,66,-6.457413921777143
45,67,-6.942504106168081
45,68,-7.051648575593148
45,69,-7.231634878532354
45,70,-7.503171412337818
45,71,-7.666297694229131
45,72,-7.855353930449181
45,73,-8.0739249703043
45,74,-8.265810496543214
45,75,-8.378232675729517
45,76,-8.319829659642199
45,77,-14.021685352215705
45,78,-8.875557316537467
45,79,-9.021685352215705
45,80,-9.07556073299856
45,81,-9.220053005982539
45,82,-9.197776611271387
46,46,-7.498806606935368
46,47,-7.498806606935368
46,48,-6.5445640974960435
46,49,-6.799836602599349
46,50,-5.412446776260619
46,51,-5.229293662717452
46,52,-4.472682090189918
46,53,-4.390241583202534
46,54,-2.002386239420362
46,55,-3.014620695837374
46,57,-1.3320739245690936
46,61,6.8132014407818176
46,63,-2.8092846494355865
46,65,-4.3514394991415815
46,66,-2.619458370686379
46,67,-5.530323658381433
46,68,-5.336839990571293
46,69,-6.10086659826333
46,70,-6.426924599629243
46,71,-6.865338151355782
46,72,-7.220053005982539
46,73,-7.535018779589812
46,74,-7.806841504168007
46,75,-8.043961746926858
46,76,-8.255768558249073
46,77,-8.465382851448418
46,78,-8.919023010318558
46,79,-8.742931751262876
46,80,-8.812170337673075
46,81,-8.919023010318558
46,82,-8.954738562585092
46,83,-9.007444913101095
47,46,-14.140871759934914
47,47,-9.08383325896455
47,48,-7.255768558249073
47,49,-6.855353930449181
47,50,-6.092266426501413
47,51,-5.8221129973105015
47,52,-5.405384921773133
47,53,-5.417459299131235
47,54,-4.675332377765067
47,55,-4.610065646252475
47,56,-3.9030899869919438
47,57,-3.8805492620949664
47,58,-0.9464479815817726
47,59,-4.341168542834451
47,61,-5.343713599404966
47,63,-6.108578244466238
47,64,-1.6901365917081819
47,65,-3.4469597686216322
47,66,-3.212529820468525
47,67,-6.836048775253794
