hours
0
0.2833333333
0.5333333333
0.5833333333
0.8333333333
1.25
1.5166666667
1.65
2.7166666667
2.9833333333
3.3333333333
3.6166666667
3.9
4.2333333333
4.5833333333
4.9333333333
5.15
5.5666666667
5.85
6.1333333333
6.6166666667
7.0666666667
7.5666666667
7.85
8.6333333333
9.5333333333
9.95
10.3666666667
10.65
11.3
12.7333333333
