-1.190122379921376749e-03,-1.857914455467834895e-03,-8.192739274818450429e-04
-1.177014404674991965e-03,-1.826851512305438519e-03,-8.093304059002548456e-04
-1.188210153486579657e-03,-1.862572942627593875e-03,-8.201652963180094957e-04
-1.177844143239781304e-03,-1.841656095348298376e-03,-8.138797071296721914e-04
-1.195800350978970614e-03,-1.874277839669957627e-03,-8.227438258472830491e-04
-1.205635460792109370e-03,-1.893963082693516991e-03,-8.376848709303886783e-04
-1.202665490563958927e-03,-1.864211884094402021e-03,-8.368633512873202779e-04
-1.193960558157414155e-03,-1.860127242980524854e-03,-8.209057908970862410e-04
-1.192868180805817290e-03,-1.858205784810706800e-03,-8.194284397177398422e-04
-1.189712167251855048e-03,-1.851572416489943775e-03,-8.196555834729225094e-04
-1.188548805657774210e-03,-1.857975992606952786e-03,-8.184245962183923613e-04
-1.197424507699906739e-03,-1.862234197324141773e-03,-8.228534541558473869e-04
-1.194787048734724478e-03,-1.875419617863371925e-03,-8.189741114620119116e-04
-1.193895324831828475e-03,-1.862699660705402277e-03,-8.241504547186196935e-04
-1.215403189416974826e-03,-1.904524094425141638e-03,-8.429108071140945175e-04
-1.203270506812259685e-03,-1.887475542025640520e-03,-8.318176376633346731e-04
-1.200965367024764332e-03,-1.891582441749051127e-03,-8.245238685049117262e-04
-1.191262138308957176e-03,-1.856208033859729723e-03,-8.243356773164124164e-04
-1.193130871979519768e-03,-1.844397647073492234e-03,-8.253128267824651112e-04
-1.207702711690217343e-03,-1.895363011863082517e-03,-8.350183954462409453e-04
-1.198030699742957906e-03,-1.876196719240397172e-03,-8.293534105177969608e-04
-1.211295154644176407e-03,-1.892974617658182805e-03,-8.360257139429450252e-04
-1.190821500495076049e-03,-1.850532431853934992e-03,-8.191312837880105214e-04
-1.194787694839760704e-03,-1.868129754438996142e-03,-8.234023640397937407e-04
-1.196899061324074908e-03,-1.855955942301079457e-03,-8.247515303082764366e-04
-1.203953096410259561e-03,-1.880921085830777840e-03,-8.264622360002249262e-04
