time,abs_intensity
2.755,522389
2.757,526842
2.758,523055
2.76,524542
2.762,525093
2.763,517373
2.765,520879
2.767,521478
2.768,515296
2.77,519675
2.772,514290
2.773,520336
2.775,519701
2.777,520217
2.778,514434
2.78,511888
2.782,515806
2.783,512664
2.785,513199
2.787,519152
2.788,513748
2.79,513839
2.792,516149
2.793,515860
2.795,520561
2.797,513557
2.798,519193
2.8,521024
2.802,520527
2.803,521080
2.805,513601
2.807,515015
2.808,511329
2.81,514437
2.812,511773
2.813,511731
2.815,517475
2.817,516603
2.818,514068
2.82,515983
2.822,512297
2.823,511984
2.825,509001
2.827,512175
2.828,515141
2.83,512927
2.832,510608
2.833,506188
2.835,510850
2.837,515598
2.838,515520
2.84,503912
2.842,508168
2.843,511873
2.845,512085
2.847,514843
2.848,509216
2.85,509355
2.852,517671
2.853,515119
2.855,507555
2.857,510602
2.858,511601
2.86,518983
2.862,513643
2.863,515208
2.865,514215
2.867,512672
2.868,516447
2.87,513414
2.872,523119
2.873,531534
2.875,546192
2.877,590007
2.878,663056
2.88,745973
2.882,879247
2.883,1059494
2.885,1280727
2.887,1511324
2.888,1776339
2.89,1999012
2.892,2219618
2.893,2364873
2.895,2460656
2.897,2435394
2.898,2392214
2.9,2208717
2.902,2002596
2.903,1778716
2.905,1542183
2.907,1324556
2.908,1168590
2.91,1036622
2.912,917840
2.913,812897
2.915,737728
2.917,682607
2.918,634090
2.92,596519
2.922,573804
2.923,562554
2.925,549404
2.927,545177
2.928,535311
2.93,524247
2.932,520211
2.933,523903
2.935,518809
2.937,518461
2.938,519176
2.94,513501
2.942,516251
2.943,509320
2.945,514702
2.947,512256
2.948,517694
2.95,510590
2.952,508758
2.953,508298
2.955,516280
2.957,515039
2.958,512724
2.96,507072
2.962,508525
2.963,509004
2.965,510407
2.967,513173
2.968,510142
2.97,507900
2.972,508011
2.973,506177
2.975,504261
2.977,507737
2.978,508307
2.98,507429
2.982,503353
2.983,501587
2.985,505395
2.987,506286
2.988,508149
2.99,510688
2.992,502688
2.993,508910
2.995,505749
2.997,502025
2.998,499577
3,504836
3.002,508940
3.003,501902
3.005,504779
3.007,506023
3.008,514700
3.01,499541
3.012,505958
3.013,511270
3.015,505848
3.017,508553
3.018,504378
3.02,503887
3.022,506287
3.023,502467
3.025,507262
3.027,513023
3.028,503424
3.03,510915
3.032,508051
3.033,506557
3.035,508673
3.037,504422
3.038,509594
3.04,510352
3.042,513073
3.043,521727
3.045,508942
3.047,510140
3.048,509686
3.05,516182
3.052,510404
3.053,509493
3.055,505450
3.057,502988
3.058,506485
3.06,508536
3.062,510516
3.063,509449
3.065,512307
3.067,513614
3.068,511119
3.07,518284
3.072,518112
3.073,510812
3.075,516484
3.077,509413
3.078,506293
3.08,502485
3.082,503211
3.083,501070
3.085,503375
3.087,507012
3.088,500931
3.09,498251
3.092,498752
3.093,503108
3.095,508192
3.097,504853
3.098,504695
3.1,512221
3.102,511531
3.103,516652
3.105,514646
3.107,519424
3.108,524145
3.11,522797
3.112,525222
3.113,525433
3.115,526253
3.117,522352
3.118,523805
3.12,519882
3.122,516207
3.123,512419
3.125,510453
3.127,510140
3.128,505039
3.13,509315
3.132,501877
3.133,500572
3.135,500610
3.137,506148
3.138,503817
3.14,505919
3.142,511984
