Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"XRF_Cu"
Duration Time,175.848
Ambient Temperature,"92.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2105670"
Raw Accumulated Counts,"2204947"
Valid Count Last Packet,"11703"
Raw Count Last Packet,"12235"
Live Time,170.948029
HV DAC,0
HV ADC,0.000000
Filament DAC,0
Filament ADC,0.000000
Pulse Length,0
Pulse Period,0
Filter,0
eV per channel,20.06
Number of Channels,2048
Vacuum,2
Channel#,Intensity
0,"5367"
1,"4515"
2,"3033"
3,"1568"
4,"686"
5,"204"
6,"57"
7,"10"
8,"5"
9,"1"
10,"0"
11,"0"
12,"1"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"2"
22,"0"
23,"0"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"7"
32,"38"
33,"84"
34,"157"
35,"153"
36,"140"
37,"142"
38,"143"
39,"161"
40,"140"
41,"133"
42,"154"
43,"148"
44,"148"
45,"113"
46,"159"
47,"138"
48,"136"
49,"157"
50,"127"
51,"160"
52,"130"
53,"127"
54,"126"
55,"132"
56,"116"
57,"127"
58,"150"
59,"144"
60,"120"
61,"137"
62,"126"
63,"110"
64,"107"
65,"118"
66,"126"
67,"123"
68,"118"
69,"143"
70,"110"
71,"132"
72,"148"
73,"135"
74,"137"
75,"127"
76,"136"
77,"136"
78,"111"
79,"125"
80,"167"
81,"138"
82,"170"
83,"264"
84,"363"
85,"487"
86,"576"
87,"577"
88,"503"
89,"431"
90,"315"
91,"211"
92,"158"
93,"137"
94,"134"
95,"103"
96,"105"
97,"122"
98,"132"
99,"137"
100,"129"
101,"117"
102,"97"
103,"107"
104,"119"
105,"122"
106,"91"
107,"95"
108,"111"
109,"122"
110,"115"
111,"133"
112,"137"
113,"150"
114,"161"
115,"162"
116,"175"
117,"162"
118,"134"
119,"135"
120,"135"
121,"112"
122,"121"
123,"127"
124,"121"
125,"120"
126,"139"
127,"157"
128,"157"
129,"152"
130,"179"
131,"164"
132,"197"
133,"205"
134,"190"
135,"212"
136,"204"
137,"208"
138,"218"
139,"245"
140,"271"
141,"280"
142,"270"
143,"290"
144,"291"
145,"317"
146,"345"
147,"353"
148,"362"
149,"332"
150,"290"
151,"230"
152,"185"
153,"186"
154,"156"
155,"145"
156,"131"
157,"149"
158,"160"
159,"181"
160,"187"
161,"175"
162,"142"
163,"171"
164,"180"
165,"213"
166,"203"
167,"161"
168,"193"
169,"174"
170,"174"
171,"145"
172,"159"
173,"130"
174,"144"
175,"152"
176,"144"
177,"184"
178,"172"
179,"220"
180,"266"
181,"328"
182,"357"
183,"404"
184,"451"
185,"415"
186,"396"
187,"340"
188,"314"
189,"231"
190,"242"
191,"240"
192,"233"
193,"249"
194,"287"
195,"301"
196,"305"
197,"324"
198,"315"
199,"304"
200,"281"
201,"290"
202,"294"
203,"306"
204,"258"
205,"260"
206,"280"
207,"267"
208,"255"
209,"280"
210,"272"
211,"241"
212,"255"
213,"283"
214,"294"
215,"313"
216,"335"
217,"356"
218,"393"
219,"420"
220,"457"
221,"445"
222,"510"
223,"523"
224,"579"
225,"550"
226,"583"
227,"599"
228,"574"
229,"513"
230,"516"
231,"539"
232,"538"
233,"533"
234,"536"
235,"560"
236,"601"
237,"539"
238,"535"
239,"609"
240,"611"
241,"555"
242,"572"
243,"567"
244,"556"
245,"523"
246,"491"
247,"378"
248,"338"
249,"277"
250,"230"
251,"168"
252,"160"
253,"143"
254,"120"
255,"122"
256,"115"
257,"108"
258,"135"
259,"118"
260,"135"
261,"108"
262,"136"
263,"130"
264,"115"
265,"140"
266,"140"
267,"110"
268,"131"
269,"164"
270,"136"
271,"143"
272,"151"
273,"116"
274,"135"
275,"140"
276,"145"
277,"145"
278,"142"
279,"122"
280,"145"
281,"144"
282,"137"
283,"140"
284,"152"
285,"128"
286,"140"
287,"129"
288,"148"
289,"169"
290,"166"
291,"147"
292,"165"
293,"182"
294,"204"
295,"175"
296,"200"
297,"179"
298,"164"
299,"158"
300,"176"
301,"229"
302,"182"
303,"194"
304,"221"
305,"211"
306,"245"
307,"256"
308,"295"
309,"359"
310,"428"
311,"495"
312,"626"
313,"666"
314,"762"
315,"802"
316,"814"
317,"882"
318,"977"
319,"874"
320,"828"
321,"719"
322,"630"
323,"545"
324,"453"
325,"380"
326,"342"
327,"271"
328,"286"
329,"288"
330,"276"
331,"314"
332,"310"
333,"313"
334,"290"
335,"302"
336,"294"
337,"324"
338,"319"
339,"318"
340,"313"
341,"379"
342,"366"
343,"384"
344,"367"
345,"369"
346,"393"
347,"408"
348,"390"
349,"462"
350,"487"
351,"516"
352,"496"
353,"515"
354,"492"
355,"512"
356,"485"
357,"489"
358,"484"
359,"476"
360,"478"
361,"509"
362,"448"
363,"460"
364,"469"
365,"523"
366,"501"
367,"537"
368,"537"
369,"563"
370,"612"
371,"647"
372,"627"
373,"683"
374,"689"
375,"656"
376,"766"
377,"683"
378,"729"
379,"841"
380,"841"
381,"947"
382,"991"
383,"1053"
384,"1136"
385,"1181"
386,"1363"
387,"1603"
388,"1828"
389,"2299"
390,"3427"
391,"5639"
392,"9481"
393,"16459"
394,"27766"
395,"45146"
396,"67753"
397,"96219"
398,"126435"
399,"154568"
400,"174382"
401,"182670"
402,"176729"
403,"158105"
404,"131417"
405,"101556"
406,"72835"
407,"47513"
408,"29712"
409,"16970"
410,"9373"
411,"4805"
412,"2622"
413,"1570"
414,"1063"
415,"880"
416,"817"
417,"710"
418,"741"
419,"721"
420,"781"
421,"744"
422,"700"
423,"745"
424,"744"
425,"794"
426,"920"
427,"989"
428,"999"
429,"1144"
430,"1267"
431,"1355"
432,"1415"
433,"1613"
434,"1954"
435,"2649"
436,"3802"
437,"5318"
438,"7578"
439,"10778"
440,"14636"
441,"18511"
442,"22141"
443,"24914"
444,"26008"
445,"25417"
446,"22976"
447,"19673"
448,"15332"
449,"11544"
450,"7801"
451,"5141"
452,"3207"
453,"1781"
454,"1017"
455,"599"
456,"395"
457,"295"
458,"236"
459,"187"
460,"189"
461,"186"
462,"214"
463,"190"
464,"170"
465,"196"
466,"179"
467,"192"
468,"192"
469,"159"
470,"183"
471,"184"
472,"215"
473,"177"
474,"188"
475,"192"
476,"215"
477,"225"
478,"214"
479,"204"
480,"203"
481,"198"
482,"230"
483,"199"
484,"253"
485,"246"
486,"261"
487,"262"
488,"284"
489,"315"
490,"345"
491,"372"
492,"354"
493,"398"
494,"373"
495,"335"
496,"331"
497,"290"
498,"282"
499,"280"
500,"236"
501,"230"
502,"209"
503,"208"
504,"198"
505,"225"
506,"186"
507,"188"
508,"185"
509,"186"
510,"190"
511,"176"
512,"186"
513,"209"
514,"201"
515,"190"
516,"190"
517,"181"
518,"192"
519,"176"
520,"179"
521,"200"
522,"160"
523,"180"
524,"192"
525,"180"
526,"187"
527,"196"
528,"190"
529,"198"
530,"176"
531,"178"
532,"178"
533,"176"
534,"163"
535,"162"
536,"163"
537,"207"
538,"190"
539,"183"
540,"171"
541,"190"
542,"201"
543,"184"
544,"194"
545,"197"
546,"199"
547,"192"
548,"175"
549,"181"
550,"147"
551,"184"
552,"179"
553,"131"
554,"156"
555,"129"
556,"130"
557,"136"
558,"132"
559,"152"
560,"134"
561,"121"
562,"139"
563,"127"
564,"103"
565,"98"
566,"137"
567,"113"
568,"146"
569,"118"
570,"112"
571,"144"
572,"115"
573,"115"
574,"126"
575,"126"
576,"133"
577,"111"
578,"120"
579,"112"
580,"137"
581,"110"
582,"115"
583,"113"
584,"106"
585,"90"
586,"105"
587,"100"
588,"104"
589,"116"
590,"104"
591,"106"
592,"107"
593,"104"
594,"90"
595,"104"
596,"103"
597,"101"
598,"108"
599,"120"
600,"112"
601,"111"
602,"132"
603,"121"
604,"119"
605,"97"
606,"88"
607,"88"
608,"87"
609,"90"
610,"106"
611,"111"
612,"104"
613,"91"
614,"97"
615,"95"
616,"77"
617,"101"
618,"108"
619,"99"
620,"102"
621,"92"
622,"109"
623,"99"
624,"93"
625,"97"
626,"90"
627,"98"
628,"81"
629,"114"
630,"96"
631,"92"
632,"98"
633,"98"
634,"103"
635,"113"
636,"81"
637,"85"
638,"93"
639,"96"
640,"79"
641,"99"
642,"76"
643,"77"
644,"95"
645,"97"
646,"96"
647,"79"
648,"76"
649,"87"
650,"98"
651,"82"
652,"86"
653,"95"
654,"91"
655,"91"
656,"87"
657,"73"
658,"83"
659,"82"
660,"85"
661,"87"
662,"82"
663,"80"
664,"72"
665,"91"
666,"68"
667,"62"
668,"83"
669,"80"
670,"68"
671,"72"
672,"99"
673,"57"
674,"66"
675,"76"
676,"74"
677,"74"
678,"77"
679,"67"
680,"78"
681,"76"
682,"71"
683,"64"
684,"81"
685,"58"
686,"74"
687,"67"
688,"70"
689,"72"
690,"55"
691,"67"
692,"63"
693,"63"
694,"47"
695,"57"
696,"71"
697,"65"
698,"68"
699,"66"
700,"62"
701,"64"
702,"57"
703,"61"
704,"75"
705,"65"
706,"65"
707,"64"
708,"60"
709,"59"
710,"56"
711,"57"
712,"60"
713,"50"
714,"66"
715,"50"
716,"65"
717,"61"
718,"63"
719,"55"
720,"51"
721,"60"
722,"48"
723,"51"
724,"49"
725,"55"
726,"52"
727,"58"
728,"45"
729,"62"
730,"49"
731,"59"
732,"46"
733,"50"
734,"50"
735,"50"
736,"47"
737,"49"
738,"47"
739,"43"
740,"33"
741,"46"
742,"38"
743,"59"
744,"49"
745,"72"
746,"39"
747,"50"
748,"46"
749,"47"
750,"45"
751,"44"
752,"43"
753,"40"
754,"43"
755,"34"
756,"47"
757,"43"
758,"22"
759,"33"
760,"43"
761,"36"
762,"42"
763,"43"
764,"34"
765,"33"
766,"34"
767,"47"
768,"41"
769,"38"
770,"35"
771,"37"
772,"33"
773,"49"
774,"34"
775,"42"
776,"39"
777,"35"
778,"48"
779,"37"
780,"33"
781,"36"
782,"25"
783,"40"
784,"33"
785,"29"
786,"32"
787,"36"
788,"36"
789,"36"
790,"26"
791,"38"
792,"31"
793,"44"
794,"43"
795,"74"
796,"77"
797,"96"
798,"121"
799,"134"
800,"137"
801,"173"
802,"171"
803,"181"
804,"174"
805,"195"
806,"155"
807,"127"
808,"111"
809,"101"
810,"62"
811,"63"
812,"56"
813,"39"
814,"32"
815,"27"
816,"27"
817,"21"
818,"21"
819,"24"
820,"21"
821,"27"
822,"23"
823,"25"
824,"27"
825,"23"
826,"18"
827,"18"
828,"22"
829,"17"
830,"23"
831,"18"
832,"21"
833,"16"
834,"25"
835,"25"
836,"17"
837,"23"
838,"27"
839,"34"
840,"53"
841,"37"
842,"57"
843,"56"
844,"53"
845,"65"
846,"69"
847,"64"
848,"75"
849,"51"
850,"50"
851,"45"
852,"40"
853,"28"
854,"24"
855,"30"
856,"15"
857,"16"
858,"11"
859,"12"
860,"10"
861,"8"
862,"11"
863,"13"
864,"21"
865,"7"
866,"13"
867,"10"
868,"9"
869,"11"
870,"13"
871,"13"
872,"11"
873,"4"
874,"9"
875,"10"
876,"6"
877,"8"
878,"8"
879,"8"
880,"10"
881,"2"
882,"13"
883,"11"
884,"4"
885,"5"
886,"11"
887,"11"
888,"12"
889,"15"
890,"8"
891,"8"
892,"8"
893,"4"
894,"7"
895,"8"
896,"6"
897,"10"
898,"8"
899,"9"
900,"4"
901,"3"
902,"5"
903,"4"
904,"3"
905,"5"
906,"6"
907,"7"
908,"7"
909,"5"
910,"3"
911,"2"
912,"1"
913,"3"
914,"5"
915,"3"
916,"1"
917,"8"
918,"1"
919,"2"
920,"3"
921,"1"
922,"2"
923,"3"
924,"1"
925,"2"
926,"3"
927,"1"
928,"2"
929,"2"
930,"0"
931,"1"
932,"2"
933,"5"
934,"0"
935,"3"
936,"0"
937,"3"
938,"0"
939,"2"
940,"0"
941,"2"
942,"0"
943,"1"
944,"0"
945,"0"
946,"0"
947,"4"
948,"3"
949,"1"
950,"0"
951,"2"
952,"1"
953,"1"
954,"3"
955,"3"
956,"1"
957,"0"
958,"0"
959,"1"
960,"0"
961,"0"
962,"3"
963,"0"
964,"0"
965,"0"
966,"0"
967,"0"
968,"0"
969,"0"
970,"3"
971,"1"
972,"0"
973,"0"
974,"0"
975,"0"
976,"0"
977,"0"
978,"0"
979,"0"
980,"0"
981,"1"
982,"0"
983,"0"
984,"2"
985,"0"
986,"1"
987,"0"
988,"3"
989,"0"
990,"0"
991,"0"
992,"1"
993,"0"
994,"0"
995,"3"
996,"0"
997,"0"
998,"0"
999,"0"
1000,"1"
1001,"1"
1002,"0"
1003,"1"
1004,"1"
1005,"0"
1006,"0"
1007,"0"
1008,"0"
1009,"0"
1010,"0"
1011,"0"
1012,"0"
1013,"0"
1014,"0"
1015,"0"
1016,"1"
1017,"0"
1018,"2"
1019,"0"
1020,"0"
1021,"1"
1022,"0"
1023,"1"
1024,"0"
1025,"0"
1026,"0"
1027,"1"
1028,"0"
1029,"0"
1030,"0"
1031,"0"
1032,"0"
1033,"0"
1034,"2"
1035,"0"
1036,"0"
1037,"0"
1038,"0"
1039,"0"
1040,"1"
1041,"0"
1042,"0"
1043,"0"
1044,"1"
1045,"0"
1046,"0"
1047,"0"
1048,"0"
1049,"0"
1050,"0"
1051,"0"
1052,"0"
1053,"0"
1054,"1"
1055,"0"
1056,"0"
1057,"0"
1058,"0"
1059,"0"
1060,"0"
1061,"0"
1062,"0"
1063,"0"
1064,"0"
1065,"0"
1066,"0"
1067,"0"
1068,"0"
1069,"0"
1070,"0"
1071,"0"
1072,"0"
1073,"0"
1074,"1"
1075,"0"
1076,"0"
1077,"0"
1078,"0"
1079,"0"
1080,"0"
1081,"1"
1082,"1"
1083,"0"
1084,"0"
1085,"0"
1086,"0"
1087,"1"
1088,"0"
1089,"0"
1090,"0"
1091,"0"
1092,"0"
1093,"0"
1094,"0"
1095,"1"
1096,"0"
1097,"0"
1098,"1"
1099,"0"
1100,"1"
1101,"0"
1102,"0"
1103,"0"
1104,"1"
1105,"1"
1106,"0"
1107,"0"
1108,"0"
1109,"0"
1110,"1"
1111,"0"
1112,"0"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"0"
1119,"0"
1120,"0"
1121,"0"
1122,"0"
1123,"0"
1124,"1"
1125,"1"
1126,"1"
1127,"0"
1128,"0"
1129,"0"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"1"
1135,"0"
1136,"1"
1137,"1"
1138,"0"
1139,"0"
1140,"0"
1141,"0"
1142,"0"
1143,"0"
1144,"0"
1145,"0"
1146,"0"
1147,"0"
1148,"0"
1149,"0"
1150,"0"
1151,"0"
1152,"0"
1153,"0"
1154,"0"
1155,"0"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
