temp,lambda,intensity
1000,1E-10,0
1000,3.04020202020202E-08,1.09285487299372E-184
1000,6.07040404040404E-08,1.5102268320642E-83
1000,9.10060606060606E-08,3.8813939247829E-50
1000,1.21308080808081E-07,1.32931624470049E-33
1000,1.51610101010101E-07,8.69372622025592E-24
1000,1.81912121212121E-07,2.58189684173125E-17
1000,2.12214141414141E-07,9.64496169234682E-13
1000,2.42516161616162E-07,2.37229280961103E-09
1000,2.72818181818182E-07,9.60663618070824E-07
1000,3.03120202020202E-07,0.000110791216497
1000,3.33422222222222E-07,0.005151022549417
1000,3.63724242424242E-07,0.121617522970274
1000,3.94026262626263E-07,1.7099264276905
1000,4.24328282828283E-07,16.0347764332333
1000,4.54630303030303E-07,108.948453078215
1000,4.84932323232323E-07,570.598010986811
1000,5.15234343434344E-07,2414.73466957229
1000,5.45536363636364E-07,8564.6209657945
1000,5.75838383838384E-07,26201.6615047265
1000,6.06140404040404E-07,70742.4918858749
1000,6.36442424242424E-07,171706.434782093
1000,6.66744444444445E-07,380353.916589431
1000,6.97046464646465E-07,778514.954907257
1000,7.27348484848485E-07,1487621.25214563
1000,7.57650505050505E-07,2676723.62907537
1000,7.87952525252525E-07,4568277.68771817
1000,8.18254545454546E-07,7440704.96378951
1000,8.48556565656566E-07,11627121.3544844
1000,8.78858585858586E-07,17510080.8901449
1000,9.09160606060606E-07,25512624.4302378
1000,9.39462626262626E-07,36086283.5333752
1000,9.69764646464647E-07,49696931.8939212
1000,1.00006666666667E-06,66809490.2120574
1000,1.03036868686869E-06,87872486.4103841
1000,1.06067070707071E-06,113303376.227588
1000,1.09097272727273E-06,143475369.482246
1000,1.12127474747475E-06,178706314.404801
1000,1.15157676767677E-06,219249991.880153
1000,1.18187878787879E-06,265289982.646758
1000,1.21218080808081E-06,316936106.416061
1000,1.24248282828283E-06,374223299.584985
1000,1.27278484848485E-06,437112700.011804
1000,1.30308686868687E-06,505494642.000799
1000,1.33338888888889E-06,579193228.68679
1000,1.36369090909091E-06,657972137.657084
1000,1.39399292929293E-06,741541323.663639
1000,1.42429494949495E-06,829564304.537857
1000,1.45459696969697E-06,921665748.272685
1000,1.48489898989899E-06,1017439116.70225
1000,1.51520101010101E-06,1116454161.0583
1000,1.54550303030303E-06,1218264104.42687
1000,1.57580505050505E-06,1322412383.95812
1000,1.60610707070707E-06,1428438860.37683
1000,1.63640909090909E-06,1535885433.16639
1000,1.66671111111111E-06,1644301026.40428
1000,1.69701313131313E-06,1753245932.55555
1000,1.72731515151515E-06,1862295519.73049
1000,1.75761717171717E-06,1971043322.27776
1000,1.78791919191919E-06,2079103545.48972
1000,1.81822121212121E-06,2186113023.06555
1000,1.84852323232323E-06,2291732671.24075
1000,1.87882525252525E-06,2395648486.57151
1000,1.90912727272727E-06,2497572135.65451
1000,1.93942929292929E-06,2597241184.92662
1000,1.96973131313131E-06,2694419017.44514
1000,2.00003333333333E-06,2788894481.47607
1000,2.03033535353535E-06,2880481313.05059
1000,2.06063737373737E-06,2969017371.58922
1000,2.09093939393939E-06,3054363724.39903
1000,2.12124141414141E-06,3136403612.45384
1000,2.15154343434343E-06,3215041326.4724
1000,2.18184545454545E-06,3290201018.99465
1000,2.21214747474747E-06,3361825474.97747
1000,2.24244949494949E-06,3429874860.4326
1000,2.27275151515152E-06,3494325465.83515
1000,2.30305353535354E-06,3555168458.4595
1000,2.33335555555556E-06,3612408655.45485
1000,2.36365757575758E-06,3666063327.35867
1000,2.3939595959596E-06,3716161039.8534
1000,2.42426161616162E-06,3762740539.89496
1000,2.45456363636364E-06,3805849690.86651
1000,2.48486565656566E-06,3845544460.12478
1000,2.51516767676768E-06,3881887961.19564
1000,2.5454696969697E-06,3914949551.92357
1000,2.57577171717172E-06,3944803989.07344
1000,2.60607373737374E-06,3971530639.2064
1000,2.63637575757576E-06,3995212745.09183
1000,2.66667777777778E-06,4015936746.46025
1000,2.6969797979798E-06,4033791653.536
1000,2.72728181818182E-06,4048868471.50195
1000,2.75758383838384E-06,4061259673.83057
1000,2.78788585858586E-06,4071058722.25729
1000,2.81818787878788E-06,4078359631.06498
1000,2.8484898989899E-06,4083256573.28339
1000,2.87879191919192E-06,4085843526.38016
1000,2.90909393939394E-06,4086213955.02144
1000,2.93939595959596E-06,4084460528.50778
1000,2.96969797979798E-06,4080674870.53785
1000,3E-06,4074947339.01606
2000,1E-10,0
2000,3.04020202020202E-08,7.07918063577048E-82
2000,6.07040404040404E-08,4.67126979352976E-32
2000,9.10060606060606E-08,8.60549641705209E-16
2000,1.21308080808081E-07,7.76332346940787E-08
2000,1.51610101010101E-07,0.003595344356103
2000,1.81912121212121E-07,3.92892016192963
2000,2.12214141414141E-07,516.621299174721
2000,2.42516161616162E-07,18352.2910138278
2000,2.72818181818182E-07,275144.129975166
2000,3.03120202020202E-07,2270770.88369924
2000,3.33422222222222E-07,12201640.5584895
2000,3.63724242424242E-07,47700761.6663291
2000,3.94026262626263E-07,146431209.522729
2000,4.24328282828283E-07,372592732.280783
2000,4.54630303030303E-07,817377159.828396
2000,4.84932323232323E-07,1591916578.27633
2000,5.15234343434344E-07,2814368284.80124
2000,5.45536363636364E-07,4594661039.52483
2000,5.75838383838384E-07,7020569878.97659
2000,6.06140404040404E-07,10147708302.188
2000,6.36442424242424E-07,13994541247.8829
2000,6.66744444444445E-07,18542239941.1387
2000,6.97046464646465E-07,23738389793.3868
2000,7.27348484848485E-07,29503232095.4952
2000,7.57650505050505E-07,35737145526.259
2000,7.87952525252525E-07,42328302310.3088
2000,8.18254545454546E-07,49159739785.5381
2000,8.48556565656566E-07,56115387676.3278
2000,8.78858585858586E-07,63084840635.0766
2000,9.09160606060606E-07,69966849437.686
2000,9.39462626262626E-07,76671624755.8653
2000,9.69764646464647E-07,83122115283.7907
2000,1.00006666666667E-06,89254450383.2698
2000,1.03036868686869E-06,95017738878.4025
2000,1.06067070707071E-06,100373400571.054
2000,1.09097272727273E-06,105294183302.571
2000,1.12127474747475E-06,109762991421.274
2000,1.15157676767677E-06,113771624844.45
2000,1.18187878787879E-06,117319503567.828
2000,1.21218080808081E-06,120412431473.238
2000,1.24248282828283E-06,123061435925.594
2000,1.27278484848485E-06,125281705820.649
2000,1.30308686868687E-06,127091640099.545
2000,1.33338888888889E-06,128512010834.913
2000,1.36369090909091E-06,129565239342.016
2000,1.39399292929293E-06,130274779927.365
2000,1.42429494949495E-06,130664603454.82
2000,1.45459696969697E-06,130758771543.253
2000,1.48489898989899E-06,130581091627.576
2000,1.51520101010101E-06,130154843089.586
2000,1.54550303030303E-06,129502565018.953
2000,1.57580505050505E-06,128645896761.667
2000,1.60610707070707E-06,127605463151.752
2000,1.63640909090909E-06,126400797127.798
2000,1.66671111111111E-06,125050293256.385
2000,1.69701313131313E-06,123571186484.004
