Pressure (bar),Volume (l/mol)
0,infinite
18.35,1.3428
18.4,1.3392
18.45,1.3355
18.5,1.3319
18.55,1.3283
18.6,1.3247
18.65,1.3211
18.7,1.3176
18.75,1.314
18.8,1.3105
18.85,1.307
18.9,1.3036
18.95,1.3001
19,1.2967
19.05,1.2933
19.1,1.2899
19.15,1.2865
19.2,1.2831
19.25,1.2798
19.3,1.2764
19.35,1.2731
19.4,1.2698
19.45,1.2665
19.5,1.2633
19.55,1.26
19.6,1.2568
19.65,1.2536
19.7,1.2504
19.75,1.2472
19.8,1.2441
19.85,1.2409
19.9,1.2378
19.95,1.2347
20,1.2316
20.05,1.2285
20.1,1.2254
20.15,1.2223
20.2,1.2193
20.25,1.2163
20.3,1.2133
20.35,1.2103
20.4,1.2073
20.45,1.2043
20.5,1.2014
20.55,1.1984
20.6,1.1955
20.65,1.1926
20.7,1.1897
20.75,1.1868
20.8,1.184
20.85,1.1811
20.9,1.1783
20.95,1.1755
21,1.1726
21.05,1.1698
21.1,1.1671
21.15,1.1643
21.2,1.1615
21.25,1.1588
21.3,1.156
21.35,1.1533
21.4,1.1506
21.45,1.1479
21.5,1.1452
21.55,1.1426
21.6,1.1399
21.65,1.1373
21.7,1.1346
21.75,1.132
21.8,1.1294
21.85,1.1268
21.9,1.1242
21.95,1.1217
22,1.1191
22.05,1.1165
22.1,1.114
22.15,1.1115
22.2,1.109
22.25,1.1065
22.3,1.104
22.35,1.1015
22.4,1.099
22.45,1.0966
22.5,1.0941
22.55,1.0917
22.6,1.0892
22.65,1.0868
22.7,1.0844
22.75,1.082
22.8,1.0796
22.85,1.0773
22.9,1.0749
22.95,1.0725
23,1.0702
23.05,1.0679
23.1,1.0655
23.15,1.0632
23.2,1.0609
23.25,1.0586
23.3,1.0564
23.35,1.0541
23.4,1.0518
23.45,1.0496
23.5,1.0473
23.55,1.0451
23.6,1.0429
23.65,1.0406
23.7,1.0384
23.75,1.0362
23.8,1.0341
23.85,1.0319
23.9,1.0297
23.95,1.0275
24,1.0254
24.05,1.0233
24.1,1.0211
24.15,1.019
24.2,1.0169
24.25,1.0148
24.3,1.0127
24.35,1.0106
24.4,1.0085
24.45,1.0064
24.5,1.0044
24.55,1.0023
24.6,1.0003
24.65,0.99822
24.7,0.99619
24.75,0.99417
24.8,0.99215
24.85,0.99015
24.9,0.98815
24.95,0.98616
25,0.98418
25.05,0.9822
25.1,0.98024
25.15,0.97828
25.2,0.97633
25.25,0.97438
25.3,0.97245
25.35,0.97052
25.4,0.9686
25.45,0.96669
25.5,0.96478
25.55,0.96289
25.6,0.961
25.65,0.95911
25.7,0.95724
25.75,0.95537
25.8,0.95351
25.85,0.95165
25.9,0.94981
25.95,0.94797
26,0.94614
26.05,0.94431
26.1,0.94249
26.15,0.94068
26.2,0.93888
26.25,0.93708
26.3,0.93529
26.35,0.93351
26.4,0.93173
26.45,0.92996
26.5,0.92819
26.55,0.92644
26.6,0.92469
26.65,0.92294
26.7,0.92121
26.75,0.91948
26.8,0.91775
26.85,0.91603
26.9,0.91432
26.95,0.91262
27,0.91092
27.05,0.90923
27.1,0.90754
27.15,0.90586
27.2,0.90419
27.25,0.90252
27.3,0.90086
27.35,0.8992
27.4,0.89755
27.45,0.89591
27.5,0.89427
27.55,0.89264
27.6,0.89102
27.65,0.8894
27.7,0.88778
27.75,0.88618
27.8,0.88457
27.85,0.88298
27.9,0.88139
27.95,0.8798
28,0.87822
28.05,0.87665
28.1,0.87508
28.15,0.87352
28.2,0.87196
28.25,0.87041
28.3,0.86887
28.35,0.86732
28.4,0.86579
28.45,0.86426
28.5,0.86274
28.55,0.86122
28.6,0.8597
28.65,0.8582
28.7,0.85669
28.75,0.8552
28.8,0.8537
28.85,0.85222
28.9,0.85073
28.95,0.84926
29,0.84779
29.05,0.84632
29.1,0.84486
29.15,0.8434
29.2,0.84195
29.25,0.8405
29.3,0.83906
29.35,0.83762
29.4,0.83619
29.45,0.83477
29.5,0.83334
29.55,0.83193
29.6,0.83051
29.65,0.82911
29.7,0.8277
29.75,0.8263
29.8,0.82491
29.85,0.82352
29.9,0.82214
29.95,0.82076
30,0.81938
