nm,blue_1,green_3,yellow_6,red_40,mix_1,mix_2,mix_3
509,0.03,0.06,0.53,0.42,0.38,0.54,0.7
510,0.03,0.06,0.52,0.41,0.38,0.53,0.69
511,0.03,0.06,0.51,0.41,0.38,0.53,0.69
512,0.04,0.07,0.51,0.41,0.38,0.53,0.68
513,0.03,0.07,0.48,0.41,0.37,0.51,0.68
514,0.03,0.07,0.47,0.41,0.36,0.5,0.66
515,0.04,0.07,0.46,0.42,0.36,0.49,0.67
516,0.04,0.08,0.43,0.4,0.36,0.48,0.65
517,0.03,0.07,0.41,0.4,0.35,0.46,0.64
518,0.03,0.07,0.39,0.4,0.33,0.44,0.63
519,0.04,0.08,0.38,0.38,0.35,0.44,0.63
520,0.04,0.08,0.36,0.39,0.34,0.43,0.62
521,0.04,0.09,0.34,0.38,0.33,0.42,0.62
522,0.05,0.09,0.32,0.37,0.33,0.4,0.61
523,0.05,0.09,0.3,0.36,0.32,0.39,0.59
524,0.05,0.09,0.28,0.34,0.32,0.37,0.59
525,0.04,0.09,0.25,0.34,0.3,0.35,0.57
526,0.04,0.09,0.22,0.32,0.3,0.34,0.56
527,0.05,0.1,0.21,0.31,0.29,0.33,0.56
528,0.05,0.11,0.2,0.3,0.29,0.32,0.55
529,0.05,0.1,0.18,0.27,0.29,0.3,0.54
530,0.05,0.11,0.16,0.26,0.28,0.29,0.53
531,0.06,0.12,0.16,0.25,0.28,0.29,0.52
532,0.05,0.11,0.13,0.23,0.27,0.27,0.51
533,0.06,0.12,0.12,0.2,0.27,0.26,0.5
534,0.06,0.12,0.11,0.18,0.26,0.25,0.49
535,0.06,0.12,0.1,0.17,0.26,0.24,0.48
536,0.07,0.13,0.09,0.16,0.25,0.23,0.48
537,0.07,0.14,0.09,0.14,0.25,0.23,0.46
538,0.06,0.13,0.07,0.11,0.24,0.22,0.45
539,0.06,0.14,0.06,0.09,0.23,0.2,0.43
540,0.07,0.15,0.06,0.09,0.23,0.2,0.43
541,0.07,0.15,0.06,0.07,0.23,0.19,0.42
542,0.07,0.16,0.05,0.06,0.22,0.19,0.4
543,0.07,0.16,0.04,0.05,0.21,0.18,0.39
544,0.08,0.17,0.04,0.02,0.21,0.17,0.38
545,0.09,0.18,0.05,0.01,0.22,0.17,0.38
546,0.09,0.18,0.04,0,0.21,0.16,0.36
547,0.09,0.19,0.04,0,0.2,0.16,0.34
548,0.08,0.19,0.03,0,0.19,0.15,0.32
549,0.1,0.2,0.03,0,0.19,0.14,0.31
550,0.1,0.21,0.03,0,0.19,0.14,0.3
551,0.1,0.22,0.02,0,0.18,0.13,0.28
552,0.11,0.23,0.03,0,0.18,0.13,0.28
553,0.1,0.23,0.02,0,0.17,0.12,0.26
554,0.11,0.24,0.02,0,0.16,0.11,0.24
555,0.11,0.26,0.02,0,0.16,0.11,0.23
556,0.11,0.26,0.01,0,0.15,0.1,0.22
557,0.12,0.27,0.01,0,0.15,0.1,0.2
558,0.13,0.29,0.02,0,0.15,0.1,0.19
559,0.13,0.3,0.02,0,0.15,0.09,0.19
560,0.14,0.31,0.02,0,0.15,0.09,0.18
561,0.14,0.32,0.01,0,0.15,0.08,0.16
562,0.15,0.33,0.01,0,0.15,0.08,0.15
563,0.15,0.35,0.01,0,0.14,0.07,0.15
564,0.16,0.36,0.01,0,0.14,0.08,0.14
565,0.17,0.37,0.01,0,0.15,0.08,0.13
566,0.17,0.38,0.01,0,0.14,0.07,0.12
567,0.18,0.4,0.02,0,0.15,0.07,0.12
568,0.19,0.42,0.02,0,0.15,0.08,0.11
569,0.19,0.43,0.01,0,0.15,0.07,0.1
570,0.2,0.44,0.02,0,0.15,0.07,0.1
571,0.21,0.45,0.02,0,0.15,0.06,0.09
572,0.21,0.46,0.01,0,0.15,0.06,0.09
573,0.21,0.47,0,0,0.14,0.06,0.08
574,0.22,0.49,0.01,0,0.15,0.06,0.08
575,0.22,0.5,0.01,0,0.15,0.06,0.07
576,0.24,0.51,0.01,0,0.16,0.06,0.07
